Date,Product_Category,Brand_Type,Adulterant_Detected,Detected_Value_ppm,Safe_Limit_ppm,Test_Result,Location
2025-12-10,Eggs,Premium_Brand_A,Nitrofurans (AOZ),0.00073,0.0,Fail,Mumbai
2025-12-09,Spices (Chilli),Export_Brand_X,Ethylene Oxide,0.08,0.1,Pass,Delhi
2025-12-08,Eggs,Local_Farm,Nitrofurans (AOZ),0.0,0.0,Pass,Pune
2025-12-07,Milk,Local_Dairy,Maltodextrin,0.5,0.0,Fail,Hyderabad
2025-12-06,Honey,Supermarket_Brand,Sugar Syrup,25.0,5.0,Fail,Bangalore
2025-12-05,Eggs,Standard_Brand_B,Antibiotics,0.00045,0.0,Fail,Chennai
2025-12-04,Tea,Premium_Brand_C,Iron Filings,1.2,0.0,Fail,Kolkata
2025-12-03,Ghee,Local_Market,Vegetable Oil,15.0,0.0,Fail,Jaipur
2025-12-02,Eggs,Organic_Brand,None,0.0,0.0,Pass,Mumbai
2025-12-01,Spices (Turmeric),Export_Brand_Y,Lead Chromate,0.002,0.0,Fail,Ahmedabad
2025-11-30,Milk,Local_Dairy,Water,0.8,0.0,Fail,Lucknow
2025-11-29,Honey,Local_Market,Sugar Syrup,30.0,5.0,Fail,Patna
2025-11-28,Eggs,Standard_Brand_B,None,0.0,0.0,Pass,Chennai
2025-11-27,Spices (Chilli),Export_Brand_X,None,0.0,0.1,Pass,Delhi
2025-11-26,Ghee,Local_Market,None,0.0,0.0,Pass,Jaipur
2025-11-25,Tea,Premium_Brand_C,Artificial Color,0.5,0.0,Fail,Kolkata
2025-11-24,Milk,Supermarket_Brand,Urea,0.1,0.0,Fail,Pune
2025-11-23,Honey,Supermarket_Brand,None,0.0,5.0,Pass,Bangalore
2025-11-22,Eggs,Premium_Brand_A,None,0.0,0.0,Pass,Mumbai
2025-11-21,Spices (Turmeric),Local_Market,None,0.0,0.0,Pass,Ahmedabad
2025-11-20,Eggs,Local_Farm,Nitrofurans (AOZ),0.00005,0.0,Fail,Pune
2025-11-19,Milk,Local_Dairy,Maltodextrin,0.3,0.0,Fail,Hyderabad
2025-11-18,Honey,Supermarket_Brand,Sugar Syrup,18.0,5.0,Fail,Bangalore
2025-11-17,Ghee,Local_Market,Vegetable Oil,10.0,0.0,Fail,Jaipur
2025-11-16,Tea,Local_Market,None,0.0,0.0,Pass,Kolkata
2025-11-15,Eggs,Standard_Brand_B,Antibiotics,0.0003,0.0,Fail,Chennai
2025-11-14,Spices (Chilli),Export_Brand_X,None,0.0,0.1,Pass,Delhi
2025-11-13,Milk,Supermarket_Brand,None,0.0,0.0,Pass,Lucknow
2025-11-12,Honey,Local_Market,None,0.0,5.0,Pass,Patna
2025-11-11,Eggs,Premium_Brand_A,None,0.0,0.0,Pass,Mumbai
2025-11-10,Spices (Turmeric),Export_Brand_Y,None,0.0,0.0,Pass,Ahmedabad
2025-11-09,Milk,Local_Dairy,Water,0.6,0.0,Fail,Hyderabad
2025-11-08,Honey,Supermarket_Brand,Sugar Syrup,22.0,5.0,Fail,Bangalore
2025-11-07,Ghee,Local_Market,None,0.0,0.0,Pass,Jaipur
2025-11-06,Tea,Premium_Brand_C,Iron Filings,0.8,0.0,Fail,Kolkata
2025-11-05,Eggs,Local_Farm,None,0.0,0.0,Pass,Pune
2025-11-04,Spices (Chilli),Local_Market,None,0.0,0.1,Pass,Delhi
2025-11-03,Milk,Supermarket_Brand,Urea,0.05,0.0,Fail,Lucknow
2025-11-02,Honey,Local_Market,Sugar Syrup,28.0,5.0,Fail,Patna
2025-11-01,Eggs,Standard_Brand_B,None,0.0,0.0,Pass,Chennai
2025-10-31,Spices (Turmeric),Export_Brand_Y,Lead Chromate,0.0015,0.0,Fail,Ahmedabad
2025-10-30,Milk,Local_Dairy,None,0.0,0.0,Pass,Hyderabad
